
10,2,4376.29795819
10,4,4326.13664976
10,6,4316.45730291
10,8,4313.3037318
10,10,4311.9757418
10,12,4311.32805622
10,14,4310.98201918
10,16,4310.78617293
10,18,4310.67150025
10,20,4310.60342294
20,2,4055.5325261
20,4,3962.2846356
20,6,3940.35071202
20,8,3933.28948875
20,10,3930.61508084
20,12,3929.54245351
20,14,3929.13831105
20,16,3929.03711075
20,18,3929.07925232
20,20,3929.1894863
30,2,3975.9047879
30,4,3852.11156767
30,6,3814.99881507
30,8,3801.00745682
30,10,3794.96113741
30,12,3792.13582133
30,14,3790.77441404
30,16,3790.13436085
30,18,3789.87034937
30,20,3789.80963799
40,2,3944.32934142
40,4,3802.02445161
40,6,3752.0767031
40,8,3730.76838676
40,10,3720.57241845
40,12,3715.3188056
40,14,3712.48266247
40,16,3710.91657163
40,18,3710.0551344
40,20,3709.60115386
50,2,3928.60707216
50,4,3774.85703833
50,6,3715.1275312
50,8,3687.23743208
50,10,3672.81887552
50,12,3664.85628894
50,14,3660.25143671
50,16,3657.50427954
50,18,3655.83648518
50,20,3654.82094271
60,2,3919.65374493
60,4,3758.4895282
60,6,3691.49902198
60,8,3658.0857422
60,10,3639.74914095
60,12,3629.0670727
60,14,3622.57320616
60,16,3618.49963487
60,18,3615.88678946
60,20,3614.18754615
70,2,3914.07830831
70,4,3747.88414219
70,6,3675.49080379
70,8,3637.57570306
70,10,3615.77703235
70,12,3602.52504381
70,14,3594.14577878
70,16,3588.68789019
70,18,3585.05136235
70,20,3582.58753022
80,2,3910.37587733
80,4,3740.62963726
80,6,3664.16325121
80,8,3622.61320099
80,10,3597.83278723
80,12,3582.23849582
80,14,3572.05637258
80,16,3565.22052962
80,18,3560.53007043
80,20,3557.25613112
90,2,3907.79464133
90,4,3735.45394866
90,6,3655.86602221
90,8,3611.37970111
90,10,3584.06286128
90,12,3566.37935127
90,14,3554.52064437
90,16,3546.35644411
90,18,3540.61825216
90,20,3536.51743803
100,2,3905.92494926
100,4,3731.63498425
100,6,3649.61403002
100,8,3602.7431961
100,10,3573.27880323
100,12,3553.75486076
100,14,3540.36497846
100,16,3530.9482209
100,18,3524.19408546
100,20,3519.27175042
