40,4,5309.0257949183115
40,6,5311.1477948312595
40,8,5312.23327043013
40,10,5312.89478081844
40,12,5313.340407895382
40,14,5313.661048435873
50,4,4337.318727749925
50,6,4338.881974459535
50,8,4339.681225328895
50,10,4340.169217379545
50,12,4340.498527958658
50,14,4340.735802578987
60,4,3677.548209353224
60,6,3678.7924417898794
60,8,3679.4322491277408
60,10,3679.825203930283
60,12,3680.0915781286085
60,14,3680.284149297939
70,4,3204.9189581641544
70,6,3205.9520604009585
70,8,3206.4887119552636
70,10,3206.821282101343
70,12,3207.0482388248033
70,14,3207.2131282643195
80,4,2852.1205733708707
80,6,2853.000748741009
80,8,2853.464002885585
80,10,2853.7543352073976
80,12,2853.954143905129
80,14,2854.100218507914
90,4,2580.2733655713932
90,6,2581.035846204535
90,8,2581.4432717569484
90,10,2581.701934501842
90,12,2581.8816978793525
90,14,2582.0140802742494
100,4,2365.49834204
100,6,2366.16619312
100,8,2366.52896248
100,10,2366.76254998
100,12,2366.92665868
100,14,2367.04850476
120,4,2050.47050141
120,6,2050.99272452
120,8,2051.28646075
120,10,2051.48146691
120,12,2051.62181759
120,14,2051.72796946
140,4,1833.43079586
140,6,1833.84340282
140,8,1834.08396521
140,10,1834.24891756
140,12,1834.3708312
140,14,1834.46498166
160,4,1677.09848084
160,6,1677.42378377
160,8,1677.62042969
160,10,1677.75985934
160,12,1677.86589312
160,14,1677.949688
180, 4 = 1560.6456416841622
180, 6 = 1560.8989267509369
180, 8 = 1561.0577803521064
180, 10 = 1561.1744214809517
180, 12 = 1561.2659029027866
180, 14 = 1561.3400561647538
200, 4 = 1471.570991167348
200, 6 = 1471.7635276790666
200, 8 = 1471.8890832231189
200, 10 = 1471.9848327622412
200, 12 = 1472.0625440736162
200, 14 = 1472.1273577639524
220, 4 = 1401.9512311625583
220, 6 = 1402.0917666037487
220, 8 = 1402.187592081425
