40,4,3509.423854634021
40,8,3515.7061113053414
40,12,3518.1072708021293
40,16,3519.372059605498
80,4,2127.155024383276
80,8,2129.7475458930635
80,12,2130.772510821481
80,16,2131.330062191956
120,4,1536.5112391781927
120,8,1537.866727807691
120,12,1538.3917379283196
120,16,1538.6821941774147
160,4,1217.0625975541059
160,8,1217.880082215226
160,12,1218.1995476856143
160,16,1218.3793304536089
200,4,1022.989234641002
200,8,1023.5031546907768
200,12,1023.7172101212552
200,16,1023.8408256559459
240,4,895.7463765897006
240,8,896.0585067025148
240,12,896.2082226484038
240,16,896.298218045
